State,Confirmed,Recovered,Deaths,Active,State_code,Population,Area (per sq km)
Andaman and Nicobar Islands,4317,4076,59,182,AN,387019,8249
Andhra Pradesh,823348,792083,6690,24575,AP,49145456,162970
Arunachal Pradesh,14752,12777,37,1938,AR,1229964,83743
Assam,206015,194665,926,10421,AS,6755448,78438
Bihar,216764,207811,1090,7862,BR,102714667,94163
Chandigarh,14418,13551,226,641,CH,1131522,114
Chhattisgarh,185306,160918,2038,22350,CT,27414422,135192
Dadra and Nagar Haveli and Daman and Diu,3249,3170,2,51,DN,373088,491
Delhi,386706,347476,6511,32719,DL,210294,111
Goa,43626,40678,604,2344,GA,21763471,1483
Gujarat,172944,156219,3719,13006,GJ,1587012,3702
Haryana,166712,152864,1787,12061,HR,62097024,196244
Himachal Pradesh,21577,18517,306,2724,HP,28941133,44212
Jammu and Kashmir,94785,86888,1478,6419,JK,7560770,55673
Jharkhand,101287,95208,883,5196,JH,10436172,222236
Karnataka,823412,757208,11168,55017,KA,34607477,79716
Kerala,433106,340324,1485,91194,KL,62462743,191791
Ladakh,6194,5493,73,628,LA,36475649,38852
Lakshadweep,0,0,0,0,LD,210156,59146
Madhya Pradesh,171359,159479,2951,8929,MP,70374,30
Maharashtra,1678406,1510353,43911,123589,MH,74770270,308252
Manipur,18502,14862,168,3472,MN,114063427,307713
Meghalaya,9382,8125,87,1167,ML,2515724,22327
Mizoram,2722,2291,1,430,MZ,978281,22429
Nagaland,8945,7229,39,1596,NL,1089577,21081
Odisha,290116,275749,1373,12994,OR,1262729,16579
Puducherry,35013,30724,592,3697,PY,42825628,155707
Punjab,133658,125198,4203,4257,PB,1286189,490
Rajasthan,196993,179984,1907,15102,RJ,30355185,50362
Sikkim,3913,3509,67,255,SK,68936999,342239
State Unassigned,0,0,0,0,UN,578914,7096
Tamil Nadu,724522,691236,11122,22164,TN,72344821,130060
Telangana,238632,218887,1336,18409,TG,39184011,112077
Tripura,30714,28855,343,1493,TR,3672693,10486
Uttar Pradesh,481863,451070,7025,23768,UP,203757489,240928
Uttarakhand,62328,56923,1023,3883,UT,11082791,53483
West Bengal,373664,329937,6841,36886,WB,91928327,88752
